PULocationID,trip_distance
1,13.033333333333333
3,44684.1
4,25.534999999999997
7,7.953333333333333
9,10.996666666666668
10,9.6075
12,2.4
13,10371.557499999999
14,33780.21
22,1.7
24,57752.75
25,19652.673333333336
26,18257.105
27,3.2
28,105519.62
33,29746.212499999998
35,16.54
37,16.756666666666664
38,1.76
39,23839.583333333332
41,38782.30833333333
42,41689.093
43,11790.039999999999
45,1.7
47,8.75
48,11567.061599999999
49,4.133333333333334
50,40575.448
51,2.93
52,111085.845
54,0.89
55,2.0
56,8.305
61,3730.1733333333336
62,7.74
63,19130.895
64,5.25
65,9.84
68,4841.1323529411775
69,3.595
70,7.912727272727272
71,1.545
72,14922.133333333333
74,23253.907272727272
75,55.324285714285715
76,18.246666666666666
78,2.53
79,24303.342857142856
80,14490.488000000001
82,0.32
83,10.9
85,51.855000000000004
87,5.708333333333333
88,7.2
89,16.0
90,16631.56
91,2.61
92,13.22
93,3.1449999999999996
94,79051.56
95,4.22
97,3.42
98,40.5
100,15708.076874999999
107,664.79
112,2.4
113,19532.32
114,435.39375
116,4.953333333333334
121,1.52
122,50.8
123,5.31
125,39746.0325
129,11606.19375
130,10.67
131,28662.433333333334
132,80.98910714285714
133,114364.71
134,1.93
137,5.36875
138,16.926363636363636
139,25.64
140,10102.653124999999
141,11090.333636363635
142,3751.456666666667
143,6.669999999999999
144,11.037142857142857
145,4.408636363636364
146,31211.588
148,8394.532727272728
150,6.57
151,36560.645
152,54645.973333333335
155,43109.99
157,27.7
158,20768.84
159,57.1
161,14557.045789473685
162,81.12875
163,9.346666666666668
164,7473.965833333335
165,3.5
166,36280.840000000004
168,24370.51
170,15440.992857142857
171,6.885
174,77622.46
177,28160.715
179,38491.315
181,19.033333333333335
182,49608.92
185,1.98
186,13853.184615384615
188,1244.5525
190,10.08
191,2.21
193,5.627777777777777
196,7.21
197,17.124285714285712
198,9.88
203,18.78
209,2.77
210,1.64
211,23.8
212,52224.58500000001
215,2.935
216,4.725714285714285
217,7.03
219,8.5
222,2.85
223,11.15
224,100016.01750000002
225,11.975
226,4.57
228,101607.42
229,255.85625000000002
230,6.746363636363637
231,5185.995384615385
232,33852.676666666666
233,3.7800000000000002
234,16651.013333333332
236,10840.206666666667
237,161.6783333333333
238,19612.82909090909
239,17215.81875
241,10.28
242,40521.04
244,12116.006666666666
246,29030.474444444444
247,124342.08
248,8.36
249,4.0675
250,0.42
254,37.55
255,107806.31
256,27337.91
257,6.3
259,35347.850000000006
260,2.32
261,33512.6625
262,49919.21375
263,14746.027142857143
264,2.4099999999999997
265,1619.6919047619047
